GDP,A020101,National Accounts,国民经济核算,Gross Regional Product(100 million yuan),地区生产总值(亿元)
GDP_percapita,A02010F,National Accounts,国民经济核算,Per Capita Gross Regional Product(yuan/person),人均地区生产总值(元/人)
Consumption,A020501,National Accounts,国民经济核算,Household Consumption Expenditure(yuan),居民消费水平(元)
Consumption_rural,A020502,National Accounts,国民经济核算,Rural Household Consumption Expenditure(yuan),农村居民消费水平(元)
Consumption_urban,A020503,National Accounts,国民经济核算,Urban Household Consumption Expenditure(yuan),城镇居民消费水平(元)
LP,A030101,Total Population,总人口,Resident Population (year-end)(10000 persons),年末常住人口(万人)
LP_urban,A030102,Total Population,总人口,Urban Population(10000 persons),城镇人口(万人)
LP_rural,A030103,Total Population,总人口,Rural Population(10000 persons),乡村人口(万人)
LP_survey,A03080101,Population Data from Sample Survey,人口抽样调查样本数据,Population (Sample Survey)(person),人口数(人口抽样调查)(人)
LP_survey_male,A03080102,Population Data from Sample Survey,人口抽样调查样本数据,Male Population (Sample Survey)(person),男性人口数(人口抽样调查)(人)
LP_survey_female,A03080103,Population Data from Sample Survey,人口抽样调查样本数据,Female Population (Sample Survey)(person),女性人口数(人口抽样调查)(人)
LP_survey_gender_ratio,A03080104,Population Data from Sample Survey,人口抽样调查样本数据,Sex Ratio (Female=100) (Sample Survey)(female=100),性别比(女=100)(人口抽样调查)(女=100)
LP_above15,A03080701,Population Data from Sample Survey,人口抽样调查样本数据,Population Aged 15 and Over (Sample Survey)(person),15岁及以上人口数(人口抽样调查)(人)
LP_above15_male,A03080702,Population Data from Sample Survey,人口抽样调查样本数据,Male Population Aged 15 and Over (Sample Survey)(person),15岁及以上男性人口数(人口抽样调查)(人)
LP_above15_female,A03080703,Population Data from Sample Survey,人口抽样调查样本数据,Female Population Aged 15 and Over (Sample Survey)(person),15岁及以上女性人口数(人口抽样调查)(人)
LP_above15_illiterate,A03080704,Population Data from Sample Survey,人口抽样调查样本数据,Illiterate Population Aged 15 and Over (Sample Survey)(person),15岁及以上文盲人口数(人口抽样调查)(人)
LP_above15_male_illiterate,A03080705,Population Data from Sample Survey,人口抽样调查样本数据,Illiterate Population Aged 15 and Over; Male (Sample Survey)(person),15岁及以上男性文盲人口数(人口抽样调查)(人)
LP_above15_female_illiterate,A03080706,Population Data from Sample Survey,人口抽样调查样本数据,Illiterate Population Aged 15 and Over; Female (Sample Survey)(person),15岁及以上女性文盲人口数(人口抽样调查)(人)
Ipop,A0G0J01,Main Indicators on Internet Development,互联网主要指标发展情况,Number of Internet Users(10000 persons),互联网上网人数(万人)
domainnames,A0G0J02,Main Indicators on Internet Development,互联网主要指标发展情况,Number of Domain Names,域名数(万个)
websites,A0G0J03,Main Indicators on Internet Development,互联网主要指标发展情况,Number of Websites,网站数(万个)
webpages,A0G0J04,Main Indicators on Internet Development,互联网主要指标发展情况,Number of Webpages,网页数(万个)
broadband_ports,A0G0J05,Main Indicators on Internet Development,互联网主要指标发展情况,Broad Band Subscribers Port of Internet(10000 unit),互联网宽带接入端口(万个)
dialup_subscribers,A0G0J06,Main Indicators on Internet Development,互联网主要指标发展情况,Dial-up Subscribers of Internet,互联网拨号用户(万户)
broadband_subscribers,A0G0J07,Main Indicators on Internet Development,互联网主要指标发展情况,Broad Band Subscribers of Internet,互联网宽带接入用户(万户)
broadband_subscribers_urban,A0G0J08,Main Indicators on Internet Development,互联网主要指标发展情况,Urban Broad Band Subscribers of Internet,城市宽带接入用户(万户)
broadband_subscribers_rural,A0G0J09,Main Indicators on Internet Development,互联网主要指标发展情况,Rural Broad Band Subscribers of Internet,农村宽带接入用户(万户)
