GDP,国民经济核算,地区生产总值(亿元),A020101
GDP_percapita,国民经济核算,人均地区生产总值(元/人),A02010F
Consumption,国民经济核算,居民消费水平(元),A020501
Consumption_rural,国民经济核算,农村居民消费水平(元),A020502
Consumption_urban,国民经济核算,城镇居民消费水平(元),A020503
LP,总人口,年末常住人口(万人),A030101
LP_urban,总人口,城镇人口(万人),A030102
LP_rural,总人口,乡村人口(万人),A030103
LP_survey,人口抽样调查样本数据,人口数(人口抽样调查)(人),A03080101
LP_survey_male,人口抽样调查样本数据,男性人口数(人口抽样调查)(人),A03080102
LP_survey_female,人口抽样调查样本数据,女性人口数(人口抽样调查)(人),A03080103
LP_survey_gender_ratio,人口抽样调查样本数据,性别比(女=100)(人口抽样调查)(女=100),A03080104
LP_above15,人口抽样调查样本数据,15岁及以上人口数(人口抽样调查)(人),A03080701
LP_above15_male,人口抽样调查样本数据,15岁及以上男性人口数(人口抽样调查)(人),A03080702
LP_above15_female,人口抽样调查样本数据,15岁及以上女性人口数(人口抽样调查)(人),A03080703
LP_above15_illiterate,人口抽样调查样本数据,15岁及以上文盲人口数(人口抽样调查)(人),A03080704
LP_above15_male_illiterate,人口抽样调查样本数据,15岁及以上男性文盲人口数(人口抽样调查)(人),A03080705
LP_above15_female_illiterate,人口抽样调查样本数据,15岁及以上女性文盲人口数(人口抽样调查)(人),A03080706
Ipop,互联网主要指标发展情况,互联网上网人数(万人),A0G0J01
domainnames,互联网主要指标发展情况,域名数(万个),A0G0J02
websites,互联网主要指标发展情况,网站数(万个),A0G0J03
webpages,互联网主要指标发展情况,网页数(万个),A0G0J04
broadband_ports,互联网主要指标发展情况,互联网宽带接入端口(万个),A0G0J05
dialup_accounts,互联网主要指标发展情况,互联网拨号用户(万户),A0G0J06
broadband_accounts,互联网主要指标发展情况,互联网宽带接入用户(万户),A0G0J07
broadband_urban,互联网主要指标发展情况,城市宽带接入用户(万户),A0G0J08
broadband_rural,互联网主要指标发展情况,农村宽带接入用户(万户),A0G0J09
